"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,1687-questionnaire.csv 
"What is your gender identity?","Male",2,1687-questionnaire.csv 
,,3,1687-questionnaire.csv 
label,selection,val,1747-questionnaire.csv 
"Are you worried about how you look?","Yes",1,1747-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,1747-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,1747-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,1747-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,1747-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,1747-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","Yes",1,1747-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,1747-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,1747-questionnaire.csv 
"What is your gender identity?","Female",1,1747-questionnaire.csv 
,,10,1747-questionnaire.csv 
label,selection,val,2038-questionnaire.csv 
"Are you worried about how you look?","No",0,2038-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,2038-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,2038-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,2038-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,2038-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,2038-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,2038-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,2038-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,2038-questionnaire.csv 
"What is your gender identity?","Female",1,2038-questionnaire.csv 
,,3,2038-questionnaire.csv 
label,selection,val,2494-questionnaire.csv 
"Are you worried about how you look?","Yes",1,2494-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,2494-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,2494-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,2494-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,2494-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,2494-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","Yes",1,2494-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,2494-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,2494-questionnaire.csv 
"What is your gender identity?","Female",1,2494-questionnaire.csv 
,,8,2494-questionnaire.csv 
label,selection,val,2684-questionnaire.csv 
"Are you worried about how you look?","Yes",1,2684-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,2684-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,2684-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,2684-questionnaire.csv 
"Has it often upset you a lot?","No",0,2684-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,2684-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,2684-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,2684-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,2684-questionnaire.csv 
"What is your gender identity?","Female",1,2684-questionnaire.csv 
,,3,2684-questionnaire.csv 
label,selection,val,2741-questionnaire.csv 
"Are you worried about how you look?","Yes",1,2741-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,2741-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,2741-questionnaire.csv 
