SubjectID,Image Shown,User Selection,Time Taken,Edit Direction,Edit Factor,Computed LPIPS,Computed L2,Computed MSSSIM
1168,c60196d6-9fa9-4d14-af00-e85bf0cb004c.png,Altered,823 ms,pointy_nose,-0.8283902403128576,0.12819379568099976,0.06796802580356598,0.5770154595375061
1168,63e5686f-1947-4ac9-8836-901feda0c0dd.png,Original,1378 ms,Original,0,0,0,0
1168,e8edff1c-2b6e-4511-8aa5-1cd8eca21e04.png,Altered,919 ms,age,-0.7332469963582986,0.1292474865913391,0.06501452624797821,0.5767457485198975
1168,f4af101b-29a3-43fb-b796-a57a56de4a20.png,Altered,864 ms,age,-0.025415432670593097,0.12827755510807037,0.06478418409824371,0.5763463973999023
1168,b4f35336-db3c-4671-9c37-350285caecc6.png,Altered,596 ms,narrow_eyes,-0.24768185403360343,0.1285094916820526,0.06446811556816101,0.575594961643219
1168,33dd7d12-d60f-4770-a90b-f11307e724e7.png,Altered,1113 ms,bags_under_eyes,-0.6866209496633999,0.12853771448135376,0.06462307274341583,0.5765564441680908
1168,9cd811d5-150f-4799-a490-cce0c7177e76.png,Altered,495 ms,chubby,0.46103881516015544,0.12800046801567078,0.06546547263860703,0.5762253999710083
1168,a5c4cd8e-7430-40fb-8614-9f498fa94e69.png,Altered,638 ms,bags_under_eyes,0.9232011887344407,0.1284181773662567,0.06617765128612518,0.5732966661453247
1168,9b09767b-6929-4891-a990-ec3e12541c68.png,Altered,454 ms,bags_under_eyes,0.2557810835652865,0.12843303382396698,0.06504204869270325,0.5757611393928528
1168,5f179f94-a342-4459-af15-a012f170f5a9.png,Altered,736 ms,age,-0.45493626653330144,0.12885123491287231,0.06488696485757828,0.5767399668693542
1168,ffbf7339-c3fa-4850-91a5-fe71b666282d.png,Altered,591 ms,bags_under_eyes,-0.27458207663368683,0.12836001813411713,0.06465929746627808,0.576592206954956
1168,297921d4-7d9f-4aa0-96bb-09de58ae8b58.png,Altered,468 ms,narrow_eyes,-0.20642556163665482,0.12842029333114624,0.06451305001974106,0.5757873058319092
1168,63bb8e2b-490a-4541-a0be-39a30defb3c0.png,Altered,389 ms,smiling,0.600040511969254,0.12799881398677826,0.06461901217699051,0.5770570039749146
1168,6d603e84-8d37-4574-8e88-73d9936bc82a.png,Altered,469 ms,chubby,-0.5356970773049092,0.12869834899902344,0.06489253044128418,0.574846625328064
1168,c3220a1f-dec1-4c09-9c79-c7d381a29adc.png,Altered,476 ms,smiling,-0.46302964911518707,0.12895256280899048,0.06526564061641693,0.5744431614875793
1168,91294d8a-560e-48b3-89aa-9ec4980398c9.png,Original,1511 ms,Original,0,0,0,0
1168,62ec8001-be87-41c1-b685-77068bc8fc67.png,Altered,603 ms,chubby,-0.1572776979178352,0.1282864511013031,0.06473271548748016,0.5761582255363464
1168,81715ab8-767c-4a02-85fb-4c3408fc9498.png,Original,1519 ms,Original,0,0,0,0
1168,ac464225-4d7a-4ba0-a443-db154f49129b.png,Altered,844 ms,pointy_nose,0.11770718655362566,0.1283213198184967,0.06464453041553497,0.5759324431419373
1168,ba6ab781-6774-4a83-af1b-08b59104e29b.png,Altered,575 ms,narrow_eyes,-0.19671981503078628,0.12844696640968323,0.06452419608831406,0.5757724642753601
1168,cc9ffb39-ee22-4adf-a5a6-d8f6c02a584c.png,Altered,566 ms,pointy_nose,-0.08540842365600954,0.12816083431243896,0.06492909789085388,0.5765324831008911
1168,ca3568bb-41f4-497e-b6ef-4e8fa6ba05fe.png,Altered,587 ms,narrow_eyes,0.5625798109660829,0.12826400995254517,0.06600311398506165,0.5757473111152649
1168,bbad5106-1b67-4ebc-9551-dc8651bf7034.png,Altered,404 ms,chubby,-0.8498101569698284,0.12858045101165771,0.06532806158065796,0.5728340744972229
1168,95e05734-163d-4f62-b838-83c31e23c169.png,Altered,512 ms,age,-0.573576896172399,0.12916943430900574,0.0649416372179985,0.576766312122345
1168,23a46071-9fae-4e18-94ef-a834d55440aa.png,Altered,404 ms,narrow_eyes,-0.43233169157235696,0.12870344519615173,0.06430972367525101,0.5749056935310364
1168,7c1f0ef9-4904-4e27-a490-752a56cb0a41.png,Altered,390 ms,bags_under_eyes,-0.36691562479760575,0.12809421122074127,0.06460415571928024,0.5767165422439575
1168,176fcba5-ee58-4700-978b-6c047e761266.png,Altered,404 ms,smiling,0.3642590102314951,0.1281648576259613,0.06463560461997986,0.5768598318099976
1168,5986e68e-4810-4b59-b198-da3e54fef71a.png,Altered,417 ms,smiling,0.5140136749183919,0.12806132435798645,0.06465767323970795,0.5769968032836914
1168,8202bf0a-e254-4cd8-b351-44b8c86f704f.png,Altered,418 ms,pointy_nose,-0.43895427444713286,0.12752249836921692,0.06600534915924072,0.5769976377487183
1168,73739b5a-a09d-4891-b77c-0c015c8b9b3f.png,Altered,474 ms,pointy_nose,0.9031970454269156,0.1294967532157898,0.06585399806499481,0.5709174871444702
1446,931fc06c-347f-41d0-b218-9a5891303829.png,Altered,2752 ms,age,0.1317983062011583,0.18487390875816345,0.15891441702842712,0.44993361830711365
1446,1716c160-4920-4101-80ee-ca2e17f7ecd1.png,Altered,1665 ms,narrow_eyes,0.9564660850884146,0.1841021478176117,0.1577775776386261,0.45423194766044617
1446,0aad6892-3b49-4043-93c3-737aa21d91d1.png,Altered,2651 ms,narrow_eyes,0.7576172997888584,0.18433313071727753,0.1579951047897339,0.4532405734062195
1446,a8791fba-2629-40de-ba93-c5d012568ead.png,Original,1389 ms,Original,0,0,0,0
1446,9689c86d-ff20-44ed-843d-749b2aa468c2.png,Altered,1377 ms,chubby,-0.4999135076045742,0.18490521609783173,0.15798726677894592,0.4468919038772583
1446,219dc03e-9b07-4d87-b885-49bfe46887fe.png,Altered,1476 ms,pointy_nose,-0.07882643636605025,0.18510828912258148,0.1595512330532074,0.45050689578056335
1446,d5bf9f68-fcde-4e79-9871-43edb04e7b85.png,Altered,1269 ms,pointy_nose,0.4298242879084071,0.18524205684661865,0.1578371524810791,0.4454461634159088
1446,e48db360-f4c3-4f53-91c2-01ff30f381b3.png,Altered,1311 ms,age,0.3483105580564796,0.18504363298416138,0.15835797786712646,0.4501054286956787
